Kode MK;Nama MK;Prodi MK;Prioritas;Berminat;Nama Dosen
CIE61101;Perkembangan Peserta Didik;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;39
CIE61101;Perkembangan Peserta Didik;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61101;Perkembangan Peserta Didik;Pendidikan Teknologi Informasi;2;Pengampu;59
CIE61102;Filsafat Pendidikan dan Sains;Pendidikan Teknologi Informasi;1;Pengampu;59
CIE61102;Filsafat Pendidikan dan Sains;Pendidikan Teknologi Informasi;2;Pengampu;103
CIE61103;Komunikasi dan Teknologi Pendidikan;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;103
CIE61103;Komunikasi dan Teknologi Pendidikan;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61108;Penilaian Hasil Belajar;Pendidikan Teknologi Informasi;1;Pengampu;100
CIE61109;Pembelajaran Mikro;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;39
CIE61109;Pembelajaran Mikro;Pendidikan Teknologi Informasi;1;Pengampu;100
CIE61110;Perancangan Pembelajaran;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61110;Perancangan Pembelajaran;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61110;Perancangan Pembelajaran;Pendidikan Teknologi Informasi;1;Pengampu;100
CIE61111;Pengenalan Lapangan Persekolahan 1;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;103
CIE61111;Pengenalan Lapangan Persekolahan 1;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61111;Pengenalan Lapangan Persekolahan 1;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61111;Pengenalan Lapangan Persekolahan 1;Pendidikan Teknologi Informasi;2;Pengampu;59
CIE61112;Pengenalan Lapangan Persekolahan 2;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;103
CIE61112;Pengenalan Lapangan Persekolahan 2;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61112;Pengenalan Lapangan Persekolahan 2;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61112;Pengenalan Lapangan Persekolahan 2;Pendidikan Teknologi Informasi;2;Pengampu;59
CIE61113;Pengembangan Program Pelatihan Teknologi Informasi;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;59
CIE61113;Pengembangan Program Pelatihan Teknologi Informasi;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;47
CIE61114;Pendidikan Orang Dewasa dan Berkelanjutan;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61114;Pendidikan Orang Dewasa dan Berkelanjutan;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61114;Pendidikan Orang Dewasa dan Berkelanjutan;Pendidikan Teknologi Informasi;2;Pengampu;59
CIE61115;Manajemen Sistem Pendidikan;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;39
CIE61119;Multimodal Storytelling;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;47
CIE61119;Multimodal Storytelling;Pendidikan Teknologi Informasi;1;Pengampu;47
CIE61120;Literasi Digital;Pendidikan Teknologi Informasi;1;Pengampu;11
CIE61120;Literasi Digital;Pendidikan Teknologi Informasi;1;Pengampu;11
CIE61120;Literasi Digital;Pendidikan Teknologi Informasi;1;Pengampu;11
CIE61120;Literasi Digital;Pendidikan Teknologi Informasi;2;Pengampu;12
CIE61120;Literasi Digital;Pendidikan Teknologi Informasi;2;Pengampu;103
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;103
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;4
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;47
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Pengampu;75
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Pengampu;82
CIE61205;Pemrograman Web;Pendidikan Teknologi Informasi;1;Pengampu;105
CIE61206;Jaringan Komputer;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;17
CIE61206;Jaringan Komputer;Pendidikan Teknologi Informasi;1;Pengampu;39
CIE61206;Jaringan Komputer;Pendidikan Teknologi Informasi;1;Pengampu;75
CIE61206;Jaringan Komputer;Pendidikan Teknologi Informasi;1;Pengampu;79
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;4
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;60
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;75
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;91
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;102
CIE61208;Basis Data;Pendidikan Teknologi Informasi;1;Pengampu;108
CIE61215;Pengembangan Aplikasi Peranti Bergerak;Pendidikan Teknologi Informasi;1;Pengelola, Pengampu;47
CIE61301;Kalkulus dan Aljabar Linear;Pendidikan Teknologi Informasi;1;Koordinator Pengelola, Pengelola, Pengampu;103
CIE61301;Kalkulus dan Aljabar Linear;Pendidikan Teknologi Informasi;1;Pengampu;100
