Kode MK;Nama MK;Prodi MK;Prioritas;Berminat;Nama Dosen
CCE60301;Biomedical Sensor and Instrumentation;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;88
CCE60301;Biomedical Sensor and Instrumentation;Teknik Komputer;1;Pengelola, Pengampu;25
CCE60301;Biomedical Sensor and Instrumentation;Teknik Komputer;1;Pengampu;18
CCE60301;Biomedical Sensor and Instrumentation;Teknik Komputer;1;Pengampu;35
CCE60301;Biomedical Sensor and Instrumentation;Teknik Komputer;1;Pengampu;36
CCE60302;Cloud Computing and Security;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;75
CCE60302;Cloud Computing and Security;Teknik Komputer;1;Pengampu;2
CCE60302;Cloud Computing and Security;Teknik Komputer;1;Pengampu;36
CCE60303;Computer Vision;Teknik Komputer;1;Pengampu;36
CCE60303;Computer Vision;Teknik Komputer;1;Pengampu;82
CCE60304;Cyber Physical System;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;90
CCE60304;Cyber Physical System;Teknik Komputer;1;Pengelola, Pengampu;9
CCE60304;Cyber Physical System;Teknik Komputer;1;Pengampu;36
CCE60304;Cyber Physical System;Teknik Komputer;1;Pengampu;75
CCE60304;Cyber Physical System;Teknik Komputer;2;Pengampu;2
CCE60305;Data-driven Control System;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;36
CCE60305;Data-driven Control System;Teknik Komputer;1;Pengelola, Pengampu;90
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;25
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Pengelola, Pengampu;9
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Pengelola, Pengampu;90
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Pengampu;18
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Pengampu;35
CCE60306;Edge Intelligent and Computing;Teknik Komputer;1;Pengampu;36
CCE60306;Edge Intelligent and Computing;Teknik Komputer;2;Pengampu;2
CCE60307;Embedded Artificial Intelligence;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;9
CCE60307;Embedded Artificial Intelligence;Teknik Komputer;1;Pengelola, Pengampu;25
CCE60307;Embedded Artificial Intelligence;Teknik Komputer;1;Pengampu;18
CCE60307;Embedded Artificial Intelligence;Teknik Komputer;1;Pengampu;36
CCE60307;Embedded Artificial Intelligence;Teknik Komputer;1;Pengampu;48
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;33
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Pengelola, Pengampu;88
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Pengampu;18
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Pengampu;25
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Pengampu;36
CCE60308;Biomedical Signal Processing on Embedded System;Teknik Komputer;1;Pengampu;48
CCE60309;Fault Tolerant System;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;81
CCE60309;Fault Tolerant System;Teknik Komputer;1;Pengampu;36
CCE60309;Fault Tolerant System;Teknik Komputer;1;Pengampu;90
CCE60310;Game Technologies;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;47
CCE60310;Game Technologies;Teknik Komputer;1;Pengampu;16
CCE60310;Game Technologies;Teknik Komputer;1;Pengampu;36
CCE60310;Game Technologies;Teknik Komputer;2;Pengelola, Pengampu;81
CCE60311;Cognitive Robotics;Teknik Komputer;1;Pengampu;36
CCE60312;Intelligent Technologies;Teknik Komputer;1;Koordinator Pengelola, Pengelola, Pengampu;33
CCE60312;Intelligent Technologies;Teknik Komputer;1;Pengelola, Pengampu;25
CCE60312;Intelligent Technologies;Teknik Komputer;1;Pengampu;18
CCE60312;Intelligent Technologies;Teknik Komputer;1;Pengampu;36
CCE60313;Modern Control System;Teknik Komputer;1;Pengelola, Pengampu;36
CCE60313;Modern Control System;Teknik Komputer;1;Pengelola, Pengampu;90
CCE60313;Modern Control System;Teknik Komputer;1;Pengampu;106
CCE60314;Pattern Recognition;Teknik Komputer;1;Pengelola, Pengampu;25
CCE60314;Pattern Recognition;Teknik Komputer;1;Pengampu;20
