algo,kode_MK,nama,type,day,hour,room,lecturer
COA,CSD60706,Administrasi Basis Data,lecture,Fri,10,F3.7a,72
COA,CSD60706,Administrasi Basis Data,lecture,Fri,17,F3.18,72
COA,CSD60706,Administrasi Basis Data,practicum,Thu,10,70,Asprak
COA,CSD60706,Administrasi Basis Data,lecture,Fri,16,F3.7a,102
COA,CSD60706,Administrasi Basis Data,lecture,Wed,16,F3.8,102
COA,CSD60706,Administrasi Basis Data,practicum,Wed,15,22,Asprak
COA,CSD60706,Administrasi Basis Data,lecture,Fri,7,F3.8,75
COA,CSD60706,Administrasi Basis Data,lecture,Wed,14,F3.12,75
COA,CSD60706,Administrasi Basis Data,practicum,Fri,10,37,Asprak
COA,CSD60706,Administrasi Basis Data,lecture,Tue,7,F3.16,91
COA,CSD60706,Administrasi Basis Data,lecture,Mon,10,F4.11,91
COA,CSD60706,Administrasi Basis Data,practicum,Mon,9,53,Asprak
COA,CSD60706,Administrasi Basis Data,lecture,Fri,9,F3.12,102
COA,CSD60706,Administrasi Basis Data,lecture,Tue,16,F3.1,102
COA,CSD60706,Administrasi Basis Data,lecture,Mon,15,F4.7,102
COA,CSD60706,Administrasi Basis Data,lecture,Tue,7,F2.6,102
COA,CSD60706,Administrasi Basis Data,lecture,Mon,17,F4.13,102
COA,CSD60706,Administrasi Basis Data,lecture,Mon,8,F4.2,102
COA,CSD60706,Administrasi Basis Data,lecture,Thu,7,F2.1,75
COA,CSD60706,Administrasi Basis Data,lecture,Mon,8,F3.4,75
COA,CSD60706,Administrasi Basis Data,lecture,Mon,9,F4.13,75
COA,CSD60706,Administrasi Basis Data,lecture,Thu,17,F4.6,91
COA,CSD60706,Administrasi Basis Data,lecture,Thu,15,F3.7a,91
COA,CSD60706,Administrasi Basis Data,lecture,Tue,13,F3.15,91
COA,CIT62015,Administrasi Sistem,lecture,Fri,15,F3.17,75
COA,CIT62015,Administrasi Sistem,lecture,Fri,17,F2.6,75
COA,CIT62015,Administrasi Sistem,lecture,Wed,9,F3.9,75
COA,CIT62015,Administrasi Sistem,practicum,Fri,16,31,Asprak
COA,CIT62015,Administrasi Sistem,lecture,Wed,10,F2.1,104
COA,CIT62015,Administrasi Sistem,lecture,Thu,11,F4.3,104
COA,CIT62015,Administrasi Sistem,lecture,Mon,10,F2.5,104
COA,CIT62015,Administrasi Sistem,practicum,Wed,16,75,Asprak
COA,CIT62015,Administrasi Sistem,lecture,Thu,15,F4.12,65
COA,CIT62015,Administrasi Sistem,lecture,Tue,16,F3.13,65
COA,CIT62015,Administrasi Sistem,lecture,Mon,15,F4.9,65
COA,CIT62015,Administrasi Sistem,practicum,Wed,11,50,Asprak
COA,COM60004,Algoritma dan Struktur Data,lecture,Tue,13,F11.4,31
COA,COM60004,Algoritma dan Struktur Data,lecture,Wed,7,F2.4,31
COA,COM60004,Algoritma dan Struktur Data,practicum,Thu,8,58,Asprak
COA,COM60004,Algoritma dan Struktur Data,lecture,Mon,7,F4.3,75
COA,COM60004,Algoritma dan Struktur Data,lecture,Fri,8,F2.4,75
COA,COM60004,Algoritma dan Struktur Data,practicum,Thu,8,47,Asprak
COA,COM60004,Algoritma dan Struktur Data,lecture,Thu,17,F4.3,3
COA,COM60004,Algoritma dan Struktur Data,lecture,Wed,13,F2.5,3
COA,COM60004,Algoritma dan Struktur Data,practicum,Fri,10,48,Asprak
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Tue,8,F2.4,92
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Mon,11,F11.4,92
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Tue,8,F3.5a,92
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Fri,14,F3.7b,16
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Tue,7,F4.12,16
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Fri,17,F3.10,16
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Fri,16,F3.16,54
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Wed,9,F2.1,54
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Wed,13,F3.16,54
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Thu,11,F3.9,63
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Fri,10,F3.13,63
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Thu,10,F3.14,63
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Wed,10,F3.1,77
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Fri,7,F3.6,77
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Mon,9,F2.1,77
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Tue,13,F4.3,93
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Mon,15,F3.5a,93
COA,CIT62011,Aljabar Linear dan Matriks,lecture,Wed,8,F3.14,93
